Well,Fluor,Target,Sample,EH_ID,
A02,SYBR,IL-10,Unkn,75,None
A03,SYBR,IL-12,Unkn,75,83
B02,SYBR,IL-10,Unkn,75,None
B03,SYBR,IL-12,Unkn,75,83
C01,SYBR,CXCL9,Unkn,77,None
C02,SYBR,IL-10,Unkn,77,None
D05,SYBR,IFN-g,Unkn,77,None
D07,SYBR,TGF-b,Unkn,77,82.5
G02,SYBR,IL-10,Unkn,80,78.5
G03,SYBR,IL-12,Unkn,80,79
H03,SYBR,IL-12,Unkn,80,79.5
H05,SYBR,IFN-g,Unkn,80,81
B02,SYBR,IL-10,Unkn,67,None
C02,SYBR,IL-10,Unkn,68,None
C03,SYBR,IL-12,Unkn,68,None
D02,SYBR,IL-10,Unkn,68,None
D03,SYBR,IL-12,Unkn,68,None
F05,SYBR,IFN-g,Unkn,69,None
G03,SYBR,IL-12,Unkn,73,None
H02,SYBR,IL-10,Unkn,73,None
A01,SYBR,CXCL9,Unkn,81,None
E02,SYBR,IL-10,Unkn,83,None
E07,SYBR,TGF-b,Unkn,83,None
E09,SYBR,Ppib,Pos Ctrl,83,None
F02,SYBR,IL-10,Unkn,83,None
F03,SYBR,IL-12,Unkn,83,None
F09,SYBR,Ppib,Pos Ctrl,83,85.5
A02,SYBR,IL-10,Unkn,85,None
B01,SYBR,CXCL9,Unkn,85,78
B02,SYBR,IL-10,Unkn,85,79
C02,SYBR,IL-10,Unkn,86,78.5
C05,SYBR,IFN-g,Unkn,86,79.5
D03,SYBR,IL-12,Unkn,86,None
D05,SYBR,IFN-g,Unkn,86,80
E03,SYBR,IL-12,Unkn,88,None
F05,SYBR,IFN-g,Unkn,88,72.5
G03,SYBR,IL-12,Unkn,89,78.5
C03,SYBR,IL-12,Unkn,24,79.5
D03,SYBR,IL-12,Unkn,24,79
E02,SYBR,IL-10,Unkn,25,None
E09,SYBR,Ppib,Pos Ctrl,25,None
E05,SYBR,IFN-g,Unkn,25,79.5
A10,SYBR,CDC42,Pos Ctrl,90,None
C03,SYBR,IL-12,Unkn,91,79.5
D03,SYBR,IL-12,Unkn,91,79.5
E02,SYBR,IL-10,Unkn,93,79
A10,SYBR,CDC42,Pos Ctrl,30,None
C02,SYBR,IL-10,Unkn,29,None
C03,SYBR,IL-12,Unkn,29,None
C05,SYBR,IFN-g,Unkn,29,None
D03,SYBR,IL-12,Unkn,29,None
E03,SYBR,IL-12,Unkn,54,79.5
F03,SYBR,IL-12,Unkn,54,84
H01,SYBR,CXCL9,Unkn,92,None
C05,SYBR,IFN-g,Unkn,94,79
D03,SYBR,IL-12,Unkn,94,None
D05,SYBR,IFN-g,Unkn,94,78.5
A03,SYBR,IL-12,Unkn,87,85
A05,SYBR,IFN-g,Unkn,87,None
A06,SYBR,STAT6,Unkn,87,None
A07,SYBR,TGF-b,Unkn,87,None
B03,SYBR,IL-12,Unkn,87,80
B05,SYBR,IFN-g,Unkn,87,None
C02,SYBR,IL-10,Unkn,73,None
E03,SYBR,IL-12,Unkn,53,None
E05,SYBR,IFN-g,Unkn,53,79
F03,SYBR,IL-12,Unkn,53,None
G05,SYBR,IFN-g,Unkn,51,79.5
G02,SYBR,IL-10,Unkn,34,None
H02,SYBR,IL-10,Unkn,34,None
H03,SYBR,IL-12,Unkn,34,None
C03,SYBR,IL-12,Unkn,71,80
D03,SYBR,IL-12,Unkn,71,79.5
D05,SYBR,IFN-g,Unkn,71,73
E03,SYBR,IL-12,Unkn,72,79.5
E05,SYBR,IFN-g,Unkn,72,80.5
F03,SYBR,IL-12,Unkn,72,84
G05,SYBR,IFN-g,Unkn,78,79.5
H05,SYBR,IFN-g,Unkn,78,75
A03,SYBR,IL-12,Unkn,48,None
E02,SYBR,IFN-g,Unkn,48,79.5
B02,SYBR,IL-10,Unkn,48,None
B05,SYBR,IFN-g,Unkn,48,73
A01,SYBR,CXCL9,Unkn,28,None
A03,SYBR,IL-12,Unkn,28,None
A10,SYBR,CDC42,Pos Ctrl,28,None
B10,SYBR,CDC42,Pos Ctrl,28,None
C02,SYBR,IL-10,Unkn,30,None
C09,SYBR,Ppip,Pos Ctrl,30,None
D03,SYBR,IL-12,Unkn,30,None
D09,SYBR,Ppip,Pos Ctrl,30,None
E03,SYBR,IL-12,Unkn,33,None
E08,SYBR,Ppia,Pos Ctrl,33,None
F03,SYBR,IL-12,Unkn,33,None
A10,SYBR,CDC42,Pos Ctrl,36,None
B02,SYBR,IL-10,Unkn,36,None
C02,SYBR,IL-10,Unkn,37,None
C03,SYBR,IL-12,Unkn,37,None
C07,SYBR,TGF-b,Unkn,37,None
D03,SYBR,IL-12,Unkn,37,None
E03,SYBR,IL-12,Unkn,38,80
E09,SYBR,Ppip,Pos Ctrl,38,None
F09,SYBR,Ppip,Pos Ctrl,38,81.5
B10,SYBR,CDC42,Pos Ctrl,40,None
C05,SYBR,IFN-g,Unkn,41,None
C11,SYBR,,Neg Ctrl,41,None
D02,SYBR,IL-10,Unkn,41,None
E11,SYBR,,Neg Ctrl,43,None
F11,SYBR,,Neg Ctrl,43,None
G03,SYBR,IL-12,Unkn,46,79.5
H03,SYBR,IL-12,Unkn,46,79.5
H06,SYBR,STAT6,Unkn,46,81.5
H11,SYBR,,Neg Ctrl,46,None
A01,SYBR,CXCL9,Unkn,42,None
A02,SYBR,IL-10,Unkn,42,None
A10,SYBR,CDC42,Pos Ctrl,42,None
B01,SYBR,CXCL9,Unkn,42,None
B02,SYBR,IL-10,Unkn,42,None
B03,SYBR,IL-12,Unkn,42,None
B04,SYBR,IL-6,Unkn,42,None
B06,SYBR,STAT6,Unkn,42,None
B08,SYBR,Ppia,Unkn,42,None
B10,SYBR,CDC42,Pos Ctrl,42,None
C02,SYBR,IL-10,Unkn,44,None
C03,SYBR,IL-12,Unkn,44,None
D03,SYBR,IL-12,Unkn,44,None
D05,SYBR,IFN-g,Unkn,44,None
H01,SYBR,CXCL9,Unkn,50,None
H09,SYBR,Ppib,Pos Ctrl,50,None
A01,SYBR,CXCL9,Unkn,51,None
A03,SYBR,IL-12,Unkn,51,None
A06,SYBR,STAT6,Unkn,51,None
A10,SYBR,CDC42,Pos Ctrl,51,None
B05,SYBR,IFN-g,Unkn,51,79.5
B10,SYBR,CDC42,Pos Ctrl,51,None
E03,SYBR,IL-12,Unkn,56,None
E05,SYBR,IFN-g,Unkn,56,None
E09,SYBR,Ppib,Pos Ctrl,56,81.5
F02,SYBR,IL-10,Unkn,56,None
F03,SYBR,IL-12,Unkn,56,None
F05,SYBR,IFN-g,Unkn,56,85.5
F09,SYBR,Ppib,Pos Ctrl,56,81.5
G03,SYBR,IL-12,Unkn,58,None
H03,SYBR,IL-12,Unkn,58,None
A01,SYBR,CXCL9,Unkn,59,None
A10,SYBR,CDC42,Pos Ctrl,59,None
B10,SYBR,CDC42,Pos Ctrl,59,None
C10,SYBR,CDC42,Pos Ctrl,60,None
D03,SYBR,IL-12,Unkn,60,None
D10,SYBR,CDC42,Pos Ctrl,60,None
E02,SYBR,IL-10,Unkn,61,None
E03,SYBR,IL-12,Unkn,61,None
E05,SYBR,IFN-g,Unkn,61,None
E07,SYBR,TGF-b,Unkn,61,None
F02,SYBR,IL-10,Unkn,61,None
F03,SYBR,IL-12,Unkn,61,None
F05,SYBR,IFN-g,Unkn,61,None
G02,SYBR,IL-10,Unkn,62,None
H01,SYBR,CXCL9,Unkn,62,None
H03,SYBR,IL-12,Unkn,62,None
C11,SYBR,,Neg Ctrl,64,None
D11,SYBR,,Neg Ctrl,64,None
F03,SYBR,IL-12,Unkn,65,78.5
G11,SYBR,,Neg Ctrl,66,None
H11,SYBR,,Neg Ctrl,66,None
