Labels,EH_ID,weight,Spleen,body _lenght,tail_lenght,BMI,SxW
MNW,LM0227,23.81,0.03,87.96,92.95,0.003077435463,0.1259974801
BGY,LM0228,23.50,0.04,93.88,83.37,0.002666377896,0.170212766
CEK,LM0231,20.43,0.12,89.42,89.96,0.002555047837,0.5873715125
BLW,LM0234,32.64,0.06,95.59,91.84,0.003572113312,0.1838235294
DTU,LM0235,19.51,0.05,87.79,89.10,0.002531437279,0.2562788314
FRU,LM0236,27.05,0.06,90.02,85.78,0.003338022442,0.2218114603
LYZ,LM0238,20.41,0.04,83.43,76.46,0.002932233273,0.1959823616
CIW,LM0240,20.45,0.1,93.81,84.95,0.002323780165,0.488997555
APS,LM0248,20.58,0.05,90.62,91.82,0.002506093411,0.2429543246
PSV,LM0249,24.40,0.05,92.48,92.83,0.002852950156,0.2049180328
MOR,LM0255,16.99,0.09,73.75,71.92,0.003123700086,0.5297233667
JQU,LM0257,20.44,0.06,82.07,89.96,0.003034673866,0.2935420744
HVW,LM0258,18.28,0.07,91.06,77.22,0.002204554803,0.3829321663
GHI,LM0259,28.32,0.05,88.90,89.82,0.003583354105,0.1765536723
EMW,LM0229,19.01,0.05,88.73,85.13,0.002414577525,0.2630194634
CUY,LM0232,26.98,0.03,95.24,89.22,0.002974426022,0.1111934766
STU,LM0233,29.96,0.06,94.63,93.02,0.00334567791,0.2002670227
JMR,LM0239,18.47,0.05,86.64,87.67,0.002460537613,0.2707092583
JMX,LM0247,25.93,0.04,93.53,96.41,0.002964153214,0.1542614732
EOT,LM0251,21.84,0.04,89.08,85.76,0.002752277484,0.1831501832
BCD,LM0254,21.04,0.04,90.18,88.48,0.002587171828,0.1901140684
JVZ,LM0256,29.82,0.04,97.64,90.08,0.003127894509,0.1341381623
KOP,LM0261,18.69,0.07,86.21,86.07,0.002514745335,0.3745318352
ADL,LM0264,17.81,0.04,85.40,76.20,0.002442014161,0.2245929253
IOS,LM0266,19.59,0.04,86.96,92.40,0.00259057025,0.2041858091
GSW,LM0268,19.11,0.06,85.33,82.12,0.002624564171,0.3139717425
PSU,LM0271,23.34,0.03,88.32,88.31,0.002992145656,0.1285347044