Exp_ID,labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution
Exp_003,AB,4,2,2,5,1
Exp_003,AC,0,0,0,0,1
Exp_003,AD,17,19,22,20,1
Exp_003,AE,1,0,1,0,1
Exp_003,AF,0,0,0,0,1
Exp_003,AJ,0,0,0,0,1
Exp_003,AK,0,0,1,0,1
Exp_003,AM,0,0,0,0,1
Exp_003,AN,2,0,0,0,1
Exp_003,AO,10,7,9,6,1
Exp_003,AQ,6,4,8,9,1
Exp_003,AR,0,0,0,0,1
Exp_003,AS,0,0,0,0,1
Exp_003,AT,0,0,0,0,1
Exp_003,AU,55,57,78,60,1
Exp_003,AV,76,93,83,117,1
Exp_003,AX,0,0,0,0,1
Exp_003,AY,0,0,0,0,1
Exp_003,BC,0,0,0,0,1
Exp_003,BD,0,0,1,0,1
Exp_003,BF,0,0,0,0,1
Exp_003,BG,2,0,5,2,1
Exp_003,BH,24,11,14,15,1
Exp_003,BI,0,0,0,0,1
Exp_003,BJ,0,0,0,0,1
Exp_003,BL,0,0,0,0,1
Exp_003,BM,0,0,0,0,1
Exp_003,BN,151,182,133,219,1
Exp_003,BO,0,0,0,0,1
Exp_003,BS,0,0,0,0,1
Exp_003,BT,51,65,74,69,1
Exp_003,BU,4,3,4,9,1
Exp_003,BW,0,0,0,0,1
Exp_003,BX,80,73,90,101,1
Exp_003,BY,137,120,146,120,1
Exp_003,BZ,117,104,206,172,1
Exp_003,CD,60,74,93,71,1
Exp_003,CE,0,0,0,0,1
Exp_003,CH,0,0,0,0,1
Exp_003,CJ,27,44,62,77,1
Exp_003,CK,2,4,1,2,1
Exp_003,CL,0,0,0,0,1
Exp_003,CM,15,8,8,9,1
Exp_003,CN,3,1,2,2,1
Exp_003,CO,0,0,0,0,1
Exp_003,CP,80,78,90,86,1
Exp_003,CR,1,0,1,1,1
Exp_003,CS,1,0,1,0,1
Exp_003,CT,44,72,101,48,1
Exp_003,CU,20,30,33,30,1
Exp_003,CX,50,29,27,31,1
Exp_003,CY,2,0,3,0,1
Exp_003,DE,24,25,26,26,1
Exp_003,DF,43,31,46,32,1
Exp_003,DG,0,1,3,4,1
Exp_003,DH,0,0,0,0,1
Exp_003,DI,0,1,0,0,1
Exp_003,DJ,0,0,0,0,1
Exp_003,DK,0,0,0,0,1
Exp_003,DM,0,0,0,0,1
Exp_003,DN,0,0,0,0,1
Exp_003,DO,2,5,4,5,1
Exp_003,DQ,0,0,0,0,1
Exp_003,DS,0,0,0,0,1
Exp_003,DU,0,0,0,0,1
Exp_003,DV,23,46,54,51,1
Exp_003,DW,63,73,62,51,1
Exp_003,DX,0,0,0,0,1
Exp_003,DY,1,1,7,5,1
Exp_003,DZ,0,0,0,0,1
Exp_003,EG,61,47,59,46,1
Exp_003,EH,2,1,2,2,1
Exp_003,EI,0,0,0,0,1
Exp_003,EJ,0,2,1,2,1
Exp_003,EL,0,0,0,0,1
Exp_003,EM,2,2,2,1,1
Exp_003,EN,0,0,0,0,1
Exp_003,EO,0,0,0,0,1
Exp_003,EP,0,0,0,0,1
Exp_003,EQ,36,25,24,33,1
Exp_003,ER,0,0,0,0,1
Exp_003,ET,3,0,3,2,1
Exp_003,EU,1,1,0,3,1
Exp_003,EV,16,25,26,27,1
Exp_003,EW,3,4,4,8,1
Exp_003,EX,0,0,0,0,1
Exp_003,EZ,0,0,0,0,1
Exp_003,FG,2,0,1,0,1
Exp_003,FH,118,100,105,119,1
Exp_003,FI,6,28,18,16,1
Exp_003,FJ,0,0,0,0,1
Exp_003,FK,0,0,0,0,1
Exp_003,FL,236,279,245,265,1
Exp_003,FM,1,0,0,0,1
Exp_003,FN,0,1,0,1,1
Exp_003,FO,0,0,0,0,1
Exp_003,FP,0,0,0,0,1
Exp_003,FS,233,236,155,195,1
Exp_003,FT,0,0,0,0,1
Exp_003,FV,42,44,51,41,1
Exp_003,FW,0,0,0,0,1
Exp_003,FY,0,0,0,0,1
Exp_003,FZ,0,0,0,0,1
Exp_003,GI,3,3,2,1,1
Exp_003,GJ,5,5,6,2,1
Exp_003,GK,0,0,0,0,1
Exp_003,GL,0,0,0,0,1
Exp_003,GM,0,0,0,0,1
Exp_003,GO,8,5,8,7,1
Exp_003,GP,0,0,0,0,1
Exp_003,GQ,0,0,0,0,1
Exp_003,GR,0,0,0,0,1
Exp_003,GS,22,29,36,43,1
Exp_003,GT,0,0,0,0,1
Exp_003,GU,59,67,49,53,1
Exp_003,GV,1,0,0,0,1
Exp_003,GX,0,0,0,0,1
Exp_003,GY,0,0,0,0,1
Exp_003,GZ,53,61,66,74,1
Exp_003,HI,0,0,0,0,1
Exp_003,HJ,0,0,0,0,1
Exp_003,HK,0,0,0,0,1
Exp_003,HL,32,22,23,41,1
Exp_003,HM,0,0,0,0,1
Exp_003,HN,0,2,4,1,1
Exp_003,HO,0,0,0,0,1
Exp_003,HP,0,0,0,0,1
Exp_003,HQ,1,0,1,0,1
Exp_003,HR,0,0,0,0,1
Exp_003,HS,0,0,0,0,1
Exp_003,HT,0,0,0,0,1
Exp_003,HV,0,0,0,0,1
Exp_003,HW,0,0,0,0,1
Exp_003,HX,0,0,0,0,1
Exp_003,HY,0,0,0,0,1
Exp_003,HZ,0,0,0,0,1
Exp_003,IJ,0,0,0,0,1
Exp_003,IK,83,83,67,67,1
Exp_003,IL,0,0,0,0,1
Exp_003,IM,0,0,0,0,1
Exp_003,IN,0,1,2,2,1
Exp_003,IO,0,0,0,0,1
Exp_003,IP,3,5,0,2,1
Exp_003,IR,23,13,26,24,1
Exp_003,IT,1,0,0,1,1
Exp_003,IU,0,0,0,0,1
Exp_003,IV,0,1,2,0,1
Exp_003,IX,0,0,0,0,1
Exp_003,IY,55,47,51,47,1
Exp_003,IZ,2,0,0,1,1
Exp_003,JK,0,0,0,0,1
Exp_003,JM,0,1,0,1,1
Exp_003,JP,0,0,0,0,1
Exp_003,JR,0,0,0,0,1
Exp_003,JS,0,0,0,1,1
Exp_003,JT,0,0,0,0,1
Exp_003,JU,0,0,0,0,1
Exp_003,JV,0,0,0,0,1
Exp_003,JW,0,0,0,0,1
Exp_003,JX,0,0,0,0,1
Exp_003,JY,4,2,1,2,1
Exp_003,JZ,2,7,1,4,1
Exp_003,KL,0,0,0,3,1
Exp_003,KM,10,5,5,9,1
Exp_003,KN,0,0,0,0,1
Exp_003,KO,0,0,0,0,1
Exp_003,KP,0,0,0,0,1
Exp_003,KR,0,0,0,0,1
Exp_003,KU,0,0,0,0,1
Exp_003,KV,0,0,0,0,1
Exp_003,KW,0,0,2,1,1
Exp_003,KX,0,1,0,0,1
Exp_003,KY,43,41,38,35,1
Exp_003,KZ,0,0,0,0,1
Exp_003,LM,23,11,19,20,1
Exp_003,LN,0,2,1,1,1
Exp_003,LO,0,0,0,0,1
Exp_003,LP,0,0,0,1,1
Exp_003,LQ,30,19,16,20,1
Exp_003,LR,0,0,0,0,1
Exp_003,LS,0,0,0,0,1
Exp_003,LT,0,0,0,0,1
Exp_003,LU,0,0,0,0,1
Exp_003,LW,37,38,54,44,1
Exp_003,LX,0,0,0,0,1
Exp_003,LY,0,0,0,1,1
Exp_003,LZ,0,0,0,0,1
Exp_003,MN,0,0,0,1,1
Exp_003,MO,0,0,0,0,1
Exp_003,MP,0,0,0,0,1
Exp_003,MQ,31,26,37,39,1
Exp_003,MR,4,9,10,14,1
Exp_003,MS,0,0,0,0,1
Exp_003,MT,35,28,31,29,1
Exp_003,MU,53,47,38,57,1
Exp_003,MV,258,299,304,374,1
Exp_003,MX,0,0,0,0,1
Exp_003,MY,0,0,0,0,1
Exp_003,MZ,0,1,1,2,1
Exp_003,NO,4,10,12,12,1
Exp_003,NQ,42,40,47,31,1
Exp_003,NR,3,5,7,8,1
Exp_003,NS,0,0,0,0,1
Exp_003,NT,0,0,0,0,1
Exp_003,NU,53,56,50,49,1
Exp_003,NW,0,0,0,0,1
Exp_003,NY,0,0,0,0,1
Exp_003,NZ,4,6,6,4,1
Exp_003,OR,0,1,2,4,1
Exp_003,OS,0,0,0,0,1
Exp_003,OT,0,0,0,0,1
Exp_003,OU,0,0,0,0,1
Exp_003,OV,131,134,155,136,1
Exp_003,OW,19,20,11,24,1
Exp_003,OX,0,0,1,3,1
Exp_003,OY,65,43,40,52,1
Exp_003,OZ,0,0,2,0,1
Exp_003,PR,0,0,0,0,1
Exp_003,PT,0,0,0,2,1
Exp_003,PU,0,0,0,0,1
Exp_003,PV,0,0,0,0,1
Exp_003,PW,0,0,0,0,1
Exp_003,PX,0,0,0,0,1
Exp_003,PY,0,0,0,0,1
Exp_003,QR,0,0,0,0,1
Exp_003,QS,0,0,0,0,1
Exp_003,QT,0,0,0,0,1
Exp_003,QU,21,32,17,28,1
Exp_003,QW,0,0,0,0,1
Exp_003,QX,0,0,0,0,1
Exp_003,QY,0,0,0,0,1
Exp_003,QZ,0,0,0,0,1
Exp_003,RS,0,0,1,0,1
Exp_003,RT,0,0,0,0,1
Exp_003,RU,0,0,1,0,1
Exp_003,RV,0,1,0,0,1
Exp_003,RW,0,0,0,0,1
Exp_003,RY,0,1,1,1,1
Exp_003,RZ,0,0,0,0,1
Exp_003,ST,0,0,0,0,1
Exp_003,SV,0,0,1,0,1
Exp_003,SW,0,0,0,0,1
Exp_003,SX,0,0,0,0,1
Exp_003,SY,16,27,26,20,1
Exp_003,SZ,0,0,0,0,1
Exp_003,TU,0,0,0,0,1
Exp_003,TV,0,0,0,0,1
Exp_003,TW,0,0,0,0,1
Exp_003,TX,89,112,115,103,1
Exp_003,TY,0,0,0,0,1
Exp_003,TZ,0,0,0,0,1
Exp_003,UV,15,11,12,13,1
Exp_003,UW,141,183,159,129,1
Exp_003,UX,0,0,0,0,1
Exp_003,UZ,0,0,0,0,1
Exp_003,VW,0,0,0,0,1
Exp_003,VX,0,0,0,0,1
Exp_003,VZ,12,9,11,10,1
Exp_003,WX,14,16,20,27,1
Exp_003,WY,51,76,55,75,1
Exp_003,WZ,0,0,0,0,1
Exp_003,XY,0,0,0,0,1
Exp_003,XZ,26,34,22,21,1
Exp_003,YZ,51,50,34,58,1
