"","EH_ID","labels","dpi","Strain","HybridStatus","primary","challenge","weight","Wchange","OPG","infHistory","IFNy_FEC","IFNy_CEWE","Caecum","delta","CXCR3","IRG6","IL.12","CD4","Treg","Div_Treg","Treg17","Treg_prop","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8"
"1","LM_0227","E7aMNW",8,"BUSNA_STRA","inter subsp. hybrids","E88","E64",23.81,99.79,15567.7655677656,"E88:E64",7.02526117343341,54.4201292769137,"pos",-5.79,-10.535,-4.425,-9.13,44.9,6.385,16.205,13.52,93.605,6.78,71.2,0.89,46.875,14.39,11.5,49.52,4.915,0.415,21.74
"2","LM_0228","E7aBGY",8,"STRA_BUSNA","inter subsp. hybrids","E88","E64",23.5,110.69,79646.0176991151,"E88:E64",4.99875306588759,84.9852124920339,"pos",-5.91,-8.9125,-4.3925,-6.9325,46.145,7.005,21.365,11.565,92.97,10.92,75.115,1.075,42.39,13.84,13.205,59.09,9.085,0.385,27.535
"3","LM_0229","E7aEMW",8,"SCHUNT_SCHUNT","parental strains","E88","E88",19.01,99.74,0,"E88:E88",1.65664455658793,11.9382981889895,"neg",-7.12,-7.4325,-3.1225,-4.6475,56.22,7.15,12.455,9.505,92.845,2.965,19.84,1.63,30.055,10.02,10.915,11.535,3.045,0.575,41.36
"4","LM_0231","E7aCEK",8,"PWD_SCHUNT","inter subsp. hybrids","E88","E64",20.43,98.74,53380.7829181495,"E88:E64",0.887669072138454,37.5056012557841,"pos",-5.16,-9.3825,-4.3125,-6.8575,40.59,6.45,23.76,12.78,93.505,9.25,81.21,1.705,78.305,25.305,11.105,55.935,9.085,0.85,38.165
"5","LM_0232","E7aCUY",8,"BUSNA_STRA","inter subsp. hybrids","E88","E88",26.98,102.31,0,"E88:E88",1.77673412685823,21.8877741271661,"pos",-6.22,-10.55,-3.01,-5.435,52.245,8.695,13.465,14.4,91.305,2.545,27.85,1.06,27.445,17.55,9.815,12.83,2.005,0.25,19.39
"6","LM_0233","E7aSTU",8,"STRA_STRA","parental strains","E88","E88",29.96,100.64,0,"E88:E88",4.86923097297706,81.662990584743,"neg",-5.97,-11.1725,NA,-6.1225,46.895,6.89,13.355,7.035,93.11,2.9,25.52,0.695,32.195,7.49,5.395,21.31,2.795,0.27,19.23
"7","LM_0234","E7aBLW",8,"STRA_STRA","parental strains","E88","E64",32.64,99.63,41411.0429447853,"E88:E64",5.98219397547729,112.055644071278,"pos",-7.89,NA,NA,NA,49.47,6.065,24.795,13.95,93.935,6.87,76.515,1.11,65.735,9.065,8.9,55.69,8.455,0.295,34.31
"8","LM_0235","E7aDTU",8,"STRA_SCHUNT","outbred hybrids","E88","E64",19.51,99.64,5263.15789473684,"E88:E64",2.12034089731856,53.5403908319353,"pos",-5.84,-8.6925,-3.0275,-5.5975,45.74,6.52,17.115,8.645,93.46,9.585,51.87,1.09,40.6,13.995,9.2,55.97,8.755,0.28,28.69
"9","LM_0236","E7aFRU",8,"STRA_STRA","parental strains","E88","E64",27.05,103.05,33261.8025751073,"E88:E64",0.939915392134487,121.105391312534,"pos",-6.02,NA,NA,NA,46.33,6.465,21,14.54,93.535,7.02,67.36,1.615,65.055,8.84,8.375,45.895,12.91,0.61,46.265
"10","LM_0238","E7aLYZ",8,"PWD_BUSNA","outbred hybrids","E88","E64",20.41,95.42,157608.695652174,"E88:E64",3.47981538698723,61.4115394386923,"pos",-4.42,-10.3425,-4.3375,-6.3925,43.325,8.915,13.09,6.825,91.075,7.71,79.02,1.185,55.835,26.505,18.26,38.45,4.59,0.335,27.8
"11","LM_0239","E7aJMR",8,"SCHUNT_SCHUNT","parental strains","E88","E88",18.47,95.16,0,"E88:E88",5.68730891054033,25.060196364609,"pos",-6.76,NA,NA,NA,68.01,3.63,14.11,14.35,96.36,1.73,14.31,0.925,33.075,13.9,3.785,8.985,1.69,0.385,13.755
"12","LM_0240","E7aCIW",8,"SCHUNT_PWD","inter subsp. hybrids","E88","E64",20.45,100,1798.56115107914,"E88:E64",5.61738807203253,43.3808823861458,"pos",-6.65,-8.47,-2.455,-5.66,37.435,9.045,20.515,9.26,90.935,9.1,64.37,0.805,49.91,31.115,13.46,38.515,9.6,0.64,30.505
"13","LM_0247","E7aJMX",8,"STRA_SCHUNT","outbred hybrids","E88","E88",25.93,95.58,350.140056022409,"E88:E88",5.74965573181054,15.7742979705957,"pos",-4.68,-11.1375,-3.9525,-6.0825,53.25,6.895,7.85,9.015,93.1,2.505,19.19,0.945,28.815,18.08,3.455,8.71,1.95,0.165,13.49
"14","LM_0248","E7aAPS",8,"STRA_SCHUNT","outbred hybrids","E88","E64",20.58,87.72,4000,"E88:E64",4.43651968737429,31.9834136276131,"pos",-6.92,NA,NA,NA,43.09,6.12,21.885,25.48,93.865,7.62,60.78,1.415,45.325,16.055,7.815,60.255,8.38,1.025,29.545
"15","LM_0249","E7aPSV",8,"SCHUNT_STRA","outbred hybrids","E88","E64",24.4,93.49,2767.52767527675,"E88:E64",1.62435853414336,25.5475919853859,"pos",-5.96,-9.7675,-4.1475,-6.6525,47.34,6.465,16.775,13.315,93.51,4.84,54.635,0.97,35.275,19.235,4.93,44.24,4.355,0.73,23.725
"16","LM_0251","E7aEOT",8,"STRA_BUSNA","inter subsp. hybrids","E88","E88",21.84,94.3,0,"E88:E88",10.7285610680602,1.71942881541789,"pos",-4.73,-8.835,-4.365,-6.47,61.525,5.65,12.71,9.66,94.33,1.875,29.575,0.535,21.155,17.08,4.755,15.41,1.81,0.38,11.825
"17","LM_0254","E7aBCD",8,"SCHUNT_PWD","inter subsp. hybrids","E88","E88",21.04,94.27,0,"E88:E88",6.3485357460407,23.1158022243411,"neg",-8.48,NA,NA,NA,51.475,6.69,12.11,7.535,93.29,1.455,21.435,0.55,22.92,28.36,5.64,6.335,1.65,0.27,16.1
"18","LM_0255","E7aMOR",8,"BUSNA_BUSNA","parental strains","E88","E64",16.99,93.04,65602.8368794326,"E88:E64",7.0619457854202,87.5850373523195,"pos",-2.73,-10.875,-3.245,-6.495,36.155,8.875,24.11,8.97,91.015,11.54,90.78,4.05,67.78,24.175,20.5,29.365,3.24,1.075,27.11
"19","LM_0256","E7aJVZ",8,"STRA_STRA","parental strains","E88","E88",29.82,102.3,0,"E88:E88",3.4229556011352,14.6139889944201,"neg",-8.9,-8.5175,-2.1375,-4.0625,54.575,5.11,13.005,9.13,94.87,1.835,22.3,1.075,30.89,11.41,4.455,12.675,2.58,0.48,22.56
"20","LM_0257","E7aJQU",8,"SCHUNT_SCHUNT","parental strains","E88","E64",20.44,89.85,11986.301369863,"E88:E64",6.97024477714995,21.2530814946465,"pos",-6.93,-10.995,-3.45,-5.385,58.92,5.075,16.575,15.28,94.905,4.445,48.205,0.795,28.355,17.805,7.63,39.93,4.845,0.42,26.83
"21","LM_0258","E7aHVW",8,"BUSNA_PWD","outbred hybrids","E64","E64",18.28,92.6,34836.0655737705,"E64:E64",2.83376840524125,22.5199587596992,"pos",-5.75,-8.295,-2.285,-5.855,49.925,7.915,15.795,4.28,92.06,3.71,75.72,0.765,46.72,33.62,13.385,33.365,1.74,0.515,16.375
"22","LM_0259","E7aGHI",8,"STRA_BUSNA","inter subsp. hybrids","E64","E64",28.32,98.03,2906.97674418605,"E64:E64",4.45462750530078,41.1760044409716,"neg",-8,-9.505,-3.07,-5.27,43.27,7.155,16.365,10.45,92.795,5.485,65.425,1.17,29.27,10.565,11.43,47.355,3.415,0.5,26.765
"23","LM_0260","E7bGHV",8,"SCHUNT_SCHUNT","parental strains","E64","E64",27.06,93.24603722,0,"E64:E64",NA,11.2982790313474,"neg",-11.9,-11.615,-3.91,-6.305,53.24,5.215,41.605,11.28,94.73,6.795,59.59,1.225,36.96,12.14,10.91,47.475,2.62,0.6,16.955
"24","LM_0261","E7aKOP",8,"PWD_SCHUNT","inter subsp. hybrids","E64","E88",18.69,93.03,0,"E64:E88",0,22.7925981911959,"neg",-5.9,-10.8875,-6.3575,-9.9775,49.35,9.015,8.26,4.37,90.95,1.535,22.665,0.58,19.23,26.665,4.74,7.56,1.76,0.25,14.625
"25","LM_0262","E7bABO",8,"BUSNA_BUSNA","parental strains","E64","E64",22.95,108.613346,1760.56338028169,"E64:E64",NA,0.225145312864292,"neg",-10.06,-12.8075,-5.5025,-7.7025,28.295,27.23,38.21,8.875,72.66,5.925,65.7,1.935,41.455,35.575,19.175,31.745,3.055,0.46,19.105
"26","LM_0263","E7bLMZ",8,"PWD_SCHUNT","inter subsp. hybrids","E64","E64",21.26,100.0470588,32051.2820512821,"E64:E64",NA,15.5470128102051,"pos",-8.38,-4.88,-12.735,-6.165,53.27,6.67,23.525,7.885,93.26,3.54,53.2,1.36,24.045,17.865,11.125,29.02,2.9,0.76,23.535
"27","LM_0264","E7aADL",8,"PWD_PWD","parental strains","E64","E88",17.81,99.61,0,"E64:E88",15.6812526580593,12.6543617317481,"neg",-10.02,-7.4725,-1.0475,-4.9125,54.265,9.475,10.55,4.22,90.525,1.425,22.075,1.07,31.665,27.88,6.615,10.91,1.11,0.395,20.565
"28","LM_0265","E7bIMQ",8,"BUSNA_STRA","inter subsp. hybrids","E64","E64",26.37,99.77298524,1020.40816326531,"E64:E64",NA,24.5913139705393,"neg",-11.42,-5.5275,-15.3325,-6.5675,48.49,5.22,36.585,17.105,94.7,3.37,72.075,0.62,38.04,27.135,6.945,43.535,2.015,1.225,11.53
"29","LM_0266","E7aIOS",8,"SCHUNT_STRA","outbred hybrids","E64","E88",19.59,81.83,0,"E64:E88",9.65487230528789,1.04028249056332,"neg",-8.25,-8.0425,0.862500000000001,-4.0675,56.78,4.835,16.835,13.005,95.165,1.735,11.91,1.12,50.07,18.02,2.365,6.815,1.13,0.385,8.335
"30","LM_0268","E7aGSW",8,"SCHUNT_SCHUNT","parental strains","E64","E88",19.11,91.7,0,"E64:E88",4.78446213666117,22.2297969084074,"neg",-8.15,-16.435,-8.365,-12.48,67.43,3.9,13,12.72,96.08,1.855,13.035,1.44,19.12,14.64,4.765,7.74,1.825,0.525,15.605
"31","LM_0269","E7bLOT",8,"STRA_SCHUNT","outbred hybrids","E64","E64",21.19,98.10185185,0,"E64:E64",NA,28.0476364972057,"pos",-7.91,-6.3075,-13.0275,-3.8175,53.51,4.525,30.58,17.135,95.405,5.615,41.68,0.975,22.355,7.365,16.415,45.83,5.475,0.465,31.365
"32","LM_0270","E7bKMQ",8,"SCHUNT_STRA","outbred hybrids","E64","E64",23.01,96.3164504,0,"E64:E64",NA,19.7264528663963,"neg",-9.75,-10.955,-5.455,-8.01,49.935,6.265,43.855,12.8,93.705,5.395,56.13,0.875,30.46,13.72,7.845,51.61,5.17,1.41,21.41
"33","LM_0271","E7aPSU",8,"STRA_BUSNA","inter subsp. hybrids","E64","E88",23.34,96.25,0,"E64:E88",1.65664455658793,11.5962495992721,"neg",-9.2,-10.305,-4.755,-8.22,42.86,8.465,8.225,10.045,91.535,1.78,31.145,1.11,63.235,20.855,3.855,10.13,1.36,0.35,8.335
"34","LM_0272","E7bAYZ",8,"BUSNA_STRA","inter subsp. hybrids","E64","E88",22.78,100.0439174,0,"E64:E88",NA,NA,"neg",-10.55,-12.895,-6.865,-9.9,55.305,7.315,22.15,12.34,92.525,1.835,34.18,1.01,12.905,12.335,3.985,23.61,1.225,0.62,10.585
"35","LM_0273","E7bKQW",8,"STRA_SCHUNT","outbred hybrids","E64","E88",21.81,100.5069124,0,"E64:E88",NA,16.5237749733482,"neg",-10.42,-7.9625,-3.4275,-6.1625,52.1,5.205,31.795,18.21,94.675,2.74,21.99,0.73,27.275,18.26,2.81,15.015,2.01,0.46,8.88
"36","LM_0275","E7bMNW",8,"SCHUNT_PWD","inter subsp. hybrids","E64","E88",22.47,107.8732597,0,"E64:E88",NA,6.05707055172943,"neg",4.14,-9.04,-3.14,-5.23,48.705,11.315,19.245,7.59,88.4,3.11,35.555,1.435,39.995,26.645,17.735,27.745,3.215,0.86,34.27
"37","LM_0276","E7bBGY",8,"STRA_STRA","parental strains","E64","E88",31.04,104.9003042,0,"E64:E88",NA,37.2475522517456,"neg",-10.61,-9.66,-3.74,-6.19,42.07,5.53,31.595,9.75,94.4,3.055,29.22,0.84,30.17,7.725,6.5,18.93,3.605,1.315,22.265
"38","LM_0277","E7bCEK",8,"BUSNA_STRA","inter subsp. hybrids","E64","E88",23.62,98.91122278,0,"E64:E88",NA,14.6670411958386,"neg",-10.39,-10.64,-3.945,-6.145,55.005,4.635,17.73,12.165,95.245,1.51,28.17,0.66,9.7,21.5,3.325,12.075,0.41,0.385,3.605
"39","LM_0278","E7bDTU",8,"SCHUNT_PWD","inter subsp. hybrids","E64","E88",22.24,106.51341,0,"E64:E88",NA,27.8926078147264,"neg",-10.99,-9.91,-5.355,-8.825,55.135,4.955,19.55,6.445,94.96,1.305,27.14,0.485,19.2,27.155,3.9,6.5,1.02,0.475,7.42
"40","LM_0279","E7bFPV",8,"BUSNA_BUSNA","parental strains","E64","E64",21.27,99.62529274,4545.45454545455,"E64:E64",NA,8.41303699477307,"neg",-9.18,-12.4775,-12.0475,-8.6525,48.92,14.3,52.62,14.605,85.59,7.425,79.505,1.73,69.7,21.09,21.605,36.21,2.315,2.34,14.775
"41","LM_0280","E7bMRZ",8,"SCHUNT_SCHUNT","parental strains","E64","E64",18.5,105.2931133,0,"E64:E64",NA,54.1465789028593,"pos",-7.12,-10.185,-3.255,-5.19,60.705,3.74,36.475,18.505,96.2,5.28,48.67,1.94,24.22,18.575,8.135,46.22,2.31,0.6,17.46
"42","LM_0282","E7bFRU",8,"STRA_STRA","parental strains","E64","E88",35.04,116.4506481,0,"E64:E88",NA,23.307649530542,"neg",-12.69,-5.255,-11.83,-5.85,49.85,4.7,26.94,8.94,95.235,3.02,22.305,1.4,21.805,10.375,6.72,17.135,2.78,0.71,18.35
"43","LM_0283","E7bLYZ",8,"PWD_PWD","parental strains","E64","E88",19.35,101.3089005,0,"E64:E88",NA,33.822275433801,"neg",-10.57,-10.3775,-2.8525,-5.16249999999999,53.755,9.235,19.495,6.415,90.6,1.375,27.52,0.83,28.285,29.465,4.22,16.695,0.83,0.745,9.825
"44","LM_0284","E7bLRS",8,"STRA_BUSNA","inter subsp. hybrids","E64","E64",23.55,105.1808843,1666.66666666667,"E64:E64",NA,48.3675947493746,"pos",-6.19,-8.2675,-2.3425,-4.1425,48.38,6.965,36.775,9.39,92.955,4.13,60.855,0.68,27.71,24.34,7.41,46.67,1.325,0.85,4.5
"45","LM_0285","E7bBMX",8,"PWD_PWD","parental strains","E64","E64",19.66,101.1837365,85714.2857142857,"E64:E64",NA,52.2081651889237,"pos",-3.11,-1.455,NA,-5.26499999999999,46.695,9.31,34.995,6.33,90.59,2.81,76.265,0.635,46.69,28.86,7.46,43.7,1.455,1.605,7.31
"46","LM_0286","E7bCWZ",8,"PWD_BUSNA","outbred hybrids","E64","E88",20.41,107.0267436,0,"E64:E88",NA,19.5159265822312,"neg",-9.21,-6.12,-1.42,-4.235,58.17,7.095,12.905,5.325,92.62,1.33,22.6,0.63,23.055,33.33,8.91,6.915,0.4,0.43,5.01
"47","LM_0287","E7bPRZ",8,"BUSNA_PWD","outbred hybrids","E64","E64",20.85,110.7275624,1968.50393700787,"E64:E64",NA,52.366947921615,"pos",-6.34,7.7525,19.7025,NA,50.8,9.805,35.235,8.23,90.045,5.48,76.185,1.43,59.04,34.585,15.035,35.205,1.54,1.405,9.265
"48","LM_0288","E7bCIW",8,"PWD_BUSNA","outbred hybrids","E64","E88",19.97,101.1651469,0,"E64:E88",NA,32.5857551761345,"neg",-8.79,-10.505,-5.495,-8.07,57.615,5.52,13.72,5.7,94.32,1.235,29.35,0.59,20.91,32.53,7.58,9.96,0.43,0.335,4.315
"49","LM_0289","E7bPSV",8,"SCHUNT_SCHUNT","parental strains","E64","E88",21.93,91.64229001,0,"E64:E88",NA,11.1755693464102,"neg",-9.18,-9.55,-3.315,-7.37,67.755,3.245,22.775,17.04,96.645,1.835,15.255,1.08,12.22,14.995,5.16,6.565,1.07,0.18,9.73
"50","LM_0291","E7bBQY",8,"PWD_BUSNA","outbred hybrids","E64","E64",NA,NA,52884.6153846154,"E64:E64",NA,110.035712563026,"pos",1.21,NA,NA,NA,42.085,9.84,37.85,8.35,89.995,7.57,71.14,1.005,41.105,30.975,27.805,38.4,3.785,1.43,12.825
"51","LM_0292","E7bMOR",8,"BUSNA_PWD","outbred hybrids","E64","E88",22.46,101.3995485,0,"E64:E88",NA,22.3339434737452,"neg",-7.97,NA,NA,NA,54.71,7,17.57,9.18,92.895,1.315,26.475,0.925,25.815,26.945,9.665,10.63,0.665,0.545,7.805
"52","LM_0294","E7bFLN",8,"PWD_PWD","parental strains","E64","E64",16.67,97.94359577,37500,"E64:E64",NA,177.312730924564,"pos",11.61,-10.5775,-3.1975,-5.0975,48.125,10.595,33.98,5.645,89.265,4.17,58.705,0.52,39.065,28.025,12.985,49.65,2.52,2.04,14.905
