Well,Sample Name,Detector,Task,Std_series,Ct,Ct_mean,Sd_Ct,Qty,Qty_mean,Sd_Qty,Date,Operator,Cycler,Oocyst_count,Parasite,Sample_type,Feces_weight,Qubit,NanoDrop,Extraction,Beads_weight,Tm
B1,Eimeria_10_5,Eimeria,Standard,A,18.08,16.62,1.531,200000,,,80720,Victor,ABI,200000,E_falciformis,Oocysts,,,,Glass_beads,,
B2,Eimeria_10_5,Eimeria,Standard,A,16.77,16.62,1.531,200000,,,80720,Victor,ABI,200000,E_falciformis,Oocysts,,,,Glass_beads,,
B3,Eimeria_10_5,Eimeria,Standard,A,15.02,16.62,1.531,200000,,,80720,Victor,ABI,200000,E_falciformis,Oocysts,,,,Glass_beads,,
C1,Eimeria_10_4,Eimeria,Standard,A,22.3,20.35,2.053,20000,,,80720,Victor,ABI,20000,E_falciformis,Oocysts,,,,Glass_beads,,
C2,Eimeria_10_4,Eimeria,Standard,A,20.55,20.35,2.053,20000,,,80720,Victor,ABI,20000,E_falciformis,Oocysts,,,,Glass_beads,,
C3,Eimeria_10_4,Eimeria,Standard,A,18.21,20.35,2.053,20000,,,80720,Victor,ABI,20000,E_falciformis,Oocysts,,,,Glass_beads,,
D1,Eimeria_10_3,Eimeria,Standard,A,26.07,24.18,1.919,2000,,,80720,Victor,ABI,2000,E_falciformis,Oocysts,,,,Glass_beads,,
D2,Eimeria_10_3,Eimeria,Standard,A,24.24,24.18,1.919,2000,,,80720,Victor,ABI,2000,E_falciformis,Oocysts,,,,Glass_beads,,
D3,Eimeria_10_3,Eimeria,Standard,A,22.23,24.18,1.919,2000,,,80720,Victor,ABI,2000,E_falciformis,Oocysts,,,,Glass_beads,,
E1,Eimeria_10_2,Eimeria,Standard,A,27.98,27.56,0.767,200,,,80720,Victor,ABI,200,E_falciformis,Oocysts,,,,Glass_beads,,
E2,Eimeria_10_2,Eimeria,Standard,A,28.02,27.56,0.767,200,,,80720,Victor,ABI,200,E_falciformis,Oocysts,,,,Glass_beads,,
E3,Eimeria_10_2,Eimeria,Standard,A,26.67,27.56,0.767,200,,,80720,Victor,ABI,200,E_falciformis,Oocysts,,,,Glass_beads,,
F1,Eimeria_10_1,Eimeria,Standard,A,32.58,31.16,1.592,20,,,80720,Victor,ABI,20,E_falciformis,Oocysts,,,,Glass_beads,,
F2,Eimeria_10_1,Eimeria,Standard,A,31.47,31.16,1.592,20,,,80720,Victor,ABI,20,E_falciformis,Oocysts,,,,Glass_beads,,
F3,Eimeria_10_1,Eimeria,Standard,A,29.44,31.16,1.592,20,,,80720,Victor,ABI,20,E_falciformis,Oocysts,,,,Glass_beads,,
G1,Eimeria_10_0,Eimeria,Standard,A,33.76,32.98,0.744,2,,,80720,Victor,ABI,2,E_falciformis,Oocysts,,,,Glass_beads,,
G2,Eimeria_10_0,Eimeria,Standard,A,32.9,32.98,0.744,2,,,80720,Victor,ABI,2,E_falciformis,Oocysts,,,,Glass_beads,,
G3,Eimeria_10_0,Eimeria,Standard,A,32.28,32.98,0.744,2,,,80720,Victor,ABI,2,E_falciformis,Oocysts,,,,Glass_beads,,
H1,H2O,Eimeria,NTC,,29.25,29.89,0.585,,,,80720,Victor,ABI,0,E_falciformis,water,,,,,,
H2,H2O,Eimeria,NTC,,30.39,29.89,0.585,,,,80720,Victor,ABI,0,E_falciformis,water,,,,,,
H3,H2O,Eimeria,NTC,,30.03,29.89,0.585,,,,80720,Victor,ABI,0,E_falciformis,water,,,,,,
A1,Eimeria 10_6,Eimeria,Standard,C,10.26,9.12,1.45,2100000,,,120320,Victor,Eppendorf,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
A2,Eimeria 10_6,Eimeria,Standard,C,9.61,9.12,1.45,2100000,,,120320,Victor,Eppendorf,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
A3,Eimeria 10_6,Eimeria,Standard,C,7.49,9.12,1.45,2100000,,,120320,Victor,Eppendorf,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
F1,Eimeria 10_5,Eimeria,Standard,C,14.91,12.92,1.82,210000,,,120320,Victor,Eppendorf,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
F2,Eimeria 10_5,Eimeria,Standard,C,12.48,12.92,1.82,210000,,,120320,Victor,Eppendorf,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
F3,Eimeria 10_5,Eimeria,Standard,C,11.36,12.92,1.82,210000,,,120320,Victor,Eppendorf,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
E1,Eimeria 10_4,Eimeria,Standard,C,18.55,16.94,1.51,21000,,,120320,Victor,Eppendorf,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
E2,Eimeria 10_4,Eimeria,Standard,C,16.71,16.94,1.51,21000,,,120320,Victor,Eppendorf,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
E3,Eimeria 10_4,Eimeria,Standard,C,15.56,16.94,1.51,21000,,,120320,Victor,Eppendorf,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
D1,Eimeria 10_3,Eimeria,Standard,C,22.22,20.76,1.33,2100,,,120320,Victor,Eppendorf,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
D2,Eimeria 10_3,Eimeria,Standard,C,20.44,20.76,1.33,2100,,,120320,Victor,Eppendorf,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
D3,Eimeria 10_3,Eimeria,Standard,C,19.61,20.76,1.33,2100,,,120320,Victor,Eppendorf,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
C1,Eimeria 10_2,Eimeria,Standard,C,26.16,24.97,1.42,210,,,120320,Victor,Eppendorf,210,E_ferrisi,Oocysts,,,,Glass_beads,,
C2,Eimeria 10_2,Eimeria,Standard,C,25.35,24.97,1.42,210,,,120320,Victor,Eppendorf,210,E_ferrisi,Oocysts,,,,Glass_beads,,
C3,Eimeria 10_2,Eimeria,Standard,C,23.39,24.97,1.42,210,,,120320,Victor,Eppendorf,210,E_ferrisi,Oocysts,,,,Glass_beads,,
B1,Eimeria 10_1,Eimeria,Standard,C,27.35,27.62,0.34,21,,,120320,Victor,Eppendorf,21,E_ferrisi,Oocysts,,,,Glass_beads,,
B2,Eimeria 10_1,Eimeria,Standard,C,27.51,27.62,0.34,21,,,120320,Victor,Eppendorf,21,E_ferrisi,Oocysts,,,,Glass_beads,,
B3,Eimeria 10_1,Eimeria,Standard,C,28,27.62,0.34,21,,,120320,Victor,Eppendorf,21,E_ferrisi,Oocysts,,,,Glass_beads,,
H1,H2O,Eimeria,NTC,,,,,,,,120320,Victor,Eppendorf,0,E_ferrisi,water,,,,,,
H2,H2O,Eimeria,NTC,,,,,,,,120320,Victor,Eppendorf,0,E_ferrisi,water,,,,,,
H3,H2O,Eimeria,NTC,,,,,,,,120320,Victor,Eppendorf,0,E_ferrisi,water,,,,,,
A1,Eimeria_10_6,Eimeria,Standard,C,12.25,9.83,2.642,2100000,,,170620,Victor,ABI,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
A2,Eimeria_10_6,Eimeria,Standard,C,10.23,9.83,2.642,2100000,,,170620,Victor,ABI,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
A3,Eimeria_10_6,Eimeria,Standard,C,7.02,9.83,2.642,2100000,,,170620,Victor,ABI,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
F1,Eimeria_10_5,Eimeria,Standard,C,16.96,14.24,2.792,210000,,,170620,Victor,ABI,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
F2,Eimeria_10_5,Eimeria,Standard,C,14.38,14.24,2.792,210000,,,170620,Victor,ABI,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
F3,Eimeria_10_5,Eimeria,Standard,C,11.38,14.24,2.792,210000,,,170620,Victor,ABI,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
E1,Eimeria_10_4,Eimeria,Standard,C,19.49,17.73,1.917,21000,,,170620,Victor,ABI,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
E2,Eimeria_10_4,Eimeria,Standard,C,18.01,17.73,1.917,21000,,,170620,Victor,ABI,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
E3,Eimeria_10_4,Eimeria,Standard,C,15.69,17.73,1.917,21000,,,170620,Victor,ABI,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
D1,Eimeria_10_3,Eimeria,Standard,C,25.89,23.61,2.685,2100,,,170620,Victor,ABI,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
D2,Eimeria_10_3,Eimeria,Standard,C,24.28,23.61,2.685,2100,,,170620,Victor,ABI,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
D3,Eimeria_10_3,Eimeria,Standard,C,20.65,23.61,2.685,2100,,,170620,Victor,ABI,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
C1,Eimeria_10_2,Eimeria,Standard,C,29.2,27.51,2.144,210,,,170620,Victor,ABI,210,E_ferrisi,Oocysts,,,,Glass_beads,,
C2,Eimeria_10_2,Eimeria,Standard,C,28.24,27.51,2.144,210,,,170620,Victor,ABI,210,E_ferrisi,Oocysts,,,,Glass_beads,,
C3,Eimeria_10_2,Eimeria,Standard,C,25.1,27.51,2.144,210,,,170620,Victor,ABI,210,E_ferrisi,Oocysts,,,,Glass_beads,,
B1,Eimeria_10_1,Eimeria,Standard,C,32.64,30.52,2.105,21,,,170620,Victor,ABI,21,E_ferrisi,Oocysts,,,,Glass_beads,,
B2,Eimeria_10_1,Eimeria,Standard,C,30.48,30.52,2.105,21,,,170620,Victor,ABI,21,E_ferrisi,Oocysts,,,,Glass_beads,,
B3,Eimeria_10_1,Eimeria,Standard,C,28.43,30.52,2.105,21,,,170620,Victor,ABI,21,E_ferrisi,Oocysts,,,,Glass_beads,,
H1,H2O,Eimeria,NTC,,,,,,,,170620,Victor,ABI,0,E_ferrisi,water,,,,,,
H2,H2O,Eimeria,NTC,,,,,,,,170620,Victor,ABI,0,E_ferrisi,water,,,,,,
H3,H2O,Eimeria,NTC,,,,,,,,170620,Victor,ABI,0,E_ferrisi,water,,,,,,
A1,Eimeria_10_6,Eimeria,Standard,C,14.35,13.58,0.877,2100000,,,220620,Victor,ABI,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
A2,Eimeria_10_6,Eimeria,Standard,C,13.77,13.58,0.877,2100000,,,220620,Victor,ABI,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
A3,Eimeria_10_6,Eimeria,Standard,C,12.63,13.58,0.877,2100000,,,220620,Victor,ABI,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
B1,Eimeria_10_5,Eimeria,Standard,C,16.25,14.99,1.183,210000,,,220620,Victor,ABI,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
B2,Eimeria_10_5,Eimeria,Standard,C,14.81,14.99,1.183,210000,,,220620,Victor,ABI,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
B3,Eimeria_10_5,Eimeria,Standard,C,13.9,14.99,1.183,210000,,,220620,Victor,ABI,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
C1,Eimeria_10_4,Eimeria,Standard,C,19.58,17.84,1.721,21000,,,220620,Victor,ABI,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
C2,Eimeria_10_4,Eimeria,Standard,C,17.79,17.84,1.721,21000,,,220620,Victor,ABI,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
C3,Eimeria_10_4,Eimeria,Standard,C,16.14,17.84,1.721,21000,,,220620,Victor,ABI,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
D1,Eimeria_10_3,Eimeria,Standard,C,23.06,22.18,1.186,2100,,,220620,Victor,ABI,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
D2,Eimeria_10_3,Eimeria,Standard,C,22.65,22.18,1.186,2100,,,220620,Victor,ABI,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
D3,Eimeria_10_3,Eimeria,Standard,C,20.83,22.18,1.186,2100,,,220620,Victor,ABI,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
E1,Eimeria_10_2,Eimeria,Standard,C,30.12,27.9,2.288,210,,,220620,Victor,ABI,210,E_ferrisi,Oocysts,,,,Glass_beads,,
E2,Eimeria_10_2,Eimeria,Standard,C,28.01,27.9,2.288,210,,,220620,Victor,ABI,210,E_ferrisi,Oocysts,,,,Glass_beads,,
E3,Eimeria_10_2,Eimeria,Standard,C,25.55,27.9,2.288,210,,,220620,Victor,ABI,210,E_ferrisi,Oocysts,,,,Glass_beads,,
F1,Eimeria_10_1,Eimeria,Standard,C,31.01,30.02,1.467,21,,,220620,Victor,ABI,21,E_ferrisi,Oocysts,,,,Glass_beads,,
F2,Eimeria_10_1,Eimeria,Standard,C,30.72,30.02,1.467,21,,,220620,Victor,ABI,21,E_ferrisi,Oocysts,,,,Glass_beads,,
F3,Eimeria_10_1,Eimeria,Standard,C,28.34,30.02,1.467,21,,,220620,Victor,ABI,21,E_ferrisi,Oocysts,,,,Glass_beads,,
H1,H2O,Eimeria,NTC,,0,,,,,,220620,Victor,ABI,0,E_ferrisi,water,,,,,,
H2,H2O,Eimeria,NTC,,0,,,,,,220620,Victor,ABI,0,E_ferrisi,water,,,,,,
H3,H2O,Eimeria,NTC,,34.86,,,,,,220620,Victor,ABI,0,E_ferrisi,water,,,,,,
A10,Eimeria_10_6,Eimeria,Standard,A,11.6769270283,13.1380499866,1.7500374889,2000000,,,130720,Victor,BioRad,2000000,E_falciformis,Oocysts,,1.13,,Glass_beads,,74
A11,Eimeria_10_6,Eimeria,Standard,A,12.6596983224,13.1380499866,1.7500374889,2000000,,,130720,Victor,BioRad,2000000,E_falciformis,Oocysts,,1.13,,Glass_beads,,74
A12,Eimeria_10_6,Eimeria,Standard,A,15.0775246091,13.1380499866,1.7500374889,2000000,,,130720,Victor,BioRad,2000000,E_falciformis,Oocysts,,1.13,,Glass_beads,,74
B10,Eimeria_10_5,Eimeria,Standard,A,15.261941889,17.0547205273,1.9142695595,200000,,,130720,Victor,BioRad,200000,E_falciformis,Oocysts,,,,Glass_beads,,74
B11,Eimeria_10_5,Eimeria,Standard,A,16.8313391057,17.0547205273,1.9142695595,200000,,,130720,Victor,BioRad,200000,E_falciformis,Oocysts,,,,Glass_beads,,74
B12,Eimeria_10_5,Eimeria,Standard,A,19.0708805872,17.0547205273,1.9142695595,200000,,,130720,Victor,BioRad,200000,E_falciformis,Oocysts,,,,Glass_beads,,74
C10,Eimeria_10_4,Eimeria,Standard,A,19.9329777458,21.364217947,1.8375221579,20000,,,130720,Victor,BioRad,20000,E_falciformis,Oocysts,,,,Glass_beads,,74
C11,Eimeria_10_4,Eimeria,Standard,A,20.7233162839,21.364217947,1.8375221579,20000,,,130720,Victor,BioRad,20000,E_falciformis,Oocysts,,,,Glass_beads,,74
C12,Eimeria_10_4,Eimeria,Standard,A,23.4363598114,21.364217947,1.8375221579,20000,,,130720,Victor,BioRad,20000,E_falciformis,Oocysts,,,,Glass_beads,,74
D10,Eimeria_10_3,Eimeria,Standard,A,24.1856565631,25.4447151399,1.5135655297,2000,,,130720,Victor,BioRad,2000,E_falciformis,Oocysts,,,,Glass_beads,,74.5
D11,Eimeria_10_3,Eimeria,Standard,A,25.0245019656,25.4447151399,1.5135655297,2000,,,130720,Victor,BioRad,2000,E_falciformis,Oocysts,,,,Glass_beads,,74
D12,Eimeria_10_3,Eimeria,Standard,A,27.1239868909,25.4447151399,1.5135655297,2000,,,130720,Victor,BioRad,2000,E_falciformis,Oocysts,,,,Glass_beads,,74
E10,Eimeria_10_2,Eimeria,Standard,A,28.91735984,30.2638811969,1.7007690065,200,,,130720,Victor,BioRad,200,E_falciformis,Oocysts,,,,Glass_beads,,74.5
E11,Eimeria_10_2,Eimeria,Standard,A,29.6990888109,30.2638811969,1.7007690065,200,,,130720,Victor,BioRad,200,E_falciformis,Oocysts,,,,Glass_beads,,74.5
E12,Eimeria_10_2,Eimeria,Standard,A,32.1751949397,30.2638811969,1.7007690065,200,,,130720,Victor,BioRad,200,E_falciformis,Oocysts,,,,Glass_beads,,74.5
F10,Eimeria_10_1,Eimeria,Standard,A,31.8272296297,33.0198495331,1.1461411515,20,,,130720,Victor,BioRad,20,E_falciformis,Oocysts,,,,Glass_beads,,74.5
F11,Eimeria_10_1,Eimeria,Standard,A,33.1192863986,33.0198495331,1.1461411515,20,,,130720,Victor,BioRad,20,E_falciformis,Oocysts,,,,Glass_beads,,74.5
F12,Eimeria_10_1,Eimeria,Standard,A,34.113032571,33.0198495331,1.1461411515,20,,,130720,Victor,BioRad,20,E_falciformis,Oocysts,,,,Glass_beads,,74.5
G10,Eimeria_10_0,Eimeria,Standard,A,34.1010876323,35.9675307213,2.1476622721,2,,,130720,Victor,BioRad,2,E_falciformis,Oocysts,,,,Glass_beads,,74.5
G11,Eimeria_10_0,Eimeria,Standard,A,38.3148759809,35.9675307213,2.1476622721,2,,,130720,Victor,BioRad,2,E_falciformis,Oocysts,,,,Glass_beads,,
G12,Eimeria_10_0,Eimeria,Standard,A,35.4866285507,35.9675307213,2.1476622721,2,,,130720,Victor,BioRad,2,E_falciformis,Oocysts,,,,Glass_beads,,74.5
H10,H2O,Eimeria,NTC,,35.4646875708,35.4646875708,0,,,,130720,Victor,BioRad,0,E_falciformis,water,,,,,,
H11,H2O,Eimeria,NTC,,0,0,0,,,,130720,Victor,BioRad,0,E_falciformis,water,,,,,,
H12,H2O,Eimeria,NTC,,0,0,0,,,,130720,Victor,BioRad,0,E_falciformis,water,,,,,,
